"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"broken","Mon Dec 02 04:46:03 GMT 2024","Mon Dec 02 04:46:03 GMT 2024","0","tests","test_users","TestUsersAPI","","","Test update user","Verify updating an existing user by UUID"
"broken","Mon Dec 02 04:46:03 GMT 2024","Mon Dec 02 04:46:03 GMT 2024","0","tests","test_users","TestUsersAPI","","","Test create user","Verify user creation and data validation"
"broken","Mon Dec 02 04:46:04 GMT 2024","Mon Dec 02 04:46:04 GMT 2024","0","tests","test_wishlist","","","","Test adding a game to the wishlist","Verify adding a game to the user's wishlist"
"broken","Mon Dec 02 04:46:04 GMT 2024","Mon Dec 02 04:46:04 GMT 2024","0","tests","test_users","TestUsersAPI","","","Test update user","Verify updating an existing user by UUID"
"passed","Mon Dec 02 04:46:05 GMT 2024","Mon Dec 02 04:46:05 GMT 2024","472","tests","test_users","TestUsersAPI","","","Test update user","Verify updating an existing user by UUID"
"passed","Mon Dec 02 04:46:02 GMT 2024","Mon Dec 02 04:46:02 GMT 2024","320","tests","test_games","TestGamesAPI","","","Test getting a specific game by UUID","Verify retrieving game details by its UUID"
"passed","Mon Dec 02 04:46:01 GMT 2024","Mon Dec 02 04:46:02 GMT 2024","1317","tests","test_games","TestGamesAPI","","","Test search games with specific title","Verify retrieving games with the same title (case-insensitive)"
"broken","Mon Dec 02 04:46:03 GMT 2024","Mon Dec 02 04:46:03 GMT 2024","0","tests","test_users","TestUsersAPI","","","Test delete user","Verify deleting a single user by UUID"
"broken","Mon Dec 02 04:46:04 GMT 2024","Mon Dec 02 04:46:04 GMT 2024","0","tests","test_wishlist","","","","Test adding a game to the wishlist","Verify adding a game to the user's wishlist"
"passed","Mon Dec 02 04:46:03 GMT 2024","Mon Dec 02 04:46:04 GMT 2024","438","tests","test_users","TestUsersAPI","","","Test update user","Verify updating an existing user by UUID"
"passed","Mon Dec 02 04:46:01 GMT 2024","Mon Dec 02 04:46:03 GMT 2024","1835","tests","test_users","TestUsersAPI","","","Test get users list","Verify retrieving users list with different task IDs"
"passed","Mon Dec 02 04:46:03 GMT 2024","Mon Dec 02 04:46:03 GMT 2024","683","tests","test_users","TestUsersAPI","","","Test get users list","Verify retrieving users list with different task IDs"
"passed","Mon Dec 02 04:46:02 GMT 2024","Mon Dec 02 04:46:03 GMT 2024","269","tests","test_users","TestUsersAPI","","","Test get single user details","Verify retrieving details for a specific user"
"broken","Mon Dec 02 04:46:02 GMT 2024","Mon Dec 02 04:46:02 GMT 2024","0","tests","test_users","TestUsersAPI","","","Test create user","Verify user creation and data validation"
"broken","Mon Dec 02 04:46:04 GMT 2024","Mon Dec 02 04:46:04 GMT 2024","0","tests","test_wishlist","","","","Test adding a game to the wishlist","Verify adding a game to the user's wishlist"
"passed","Mon Dec 02 04:46:02 GMT 2024","Mon Dec 02 04:46:03 GMT 2024","739","tests","test_users","TestUsersAPI","","","Test delete user","Verify deleting a single user by UUID"
"broken","Mon Dec 02 04:46:03 GMT 2024","Mon Dec 02 04:46:03 GMT 2024","0","tests","test_users","TestUsersAPI","","","Test get single user details","Verify retrieving details for a specific user"
"broken","Mon Dec 02 04:46:04 GMT 2024","Mon Dec 02 04:46:04 GMT 2024","0","tests","test_wishlist","","","","Test adding a game to the wishlist","Verify adding a game to the user's wishlist"
