"Epic","Feature","Story","FAILED","BROKEN","PASSED","SKIPPED","UNKNOWN"
"User Management","User API Operations","","4","6","2","0","0"
"Wishlist Management","Add Game to Wishlist","","0","3","1","0","0"
"Game Management","Game Search API","","1","1","0","0","0"
