"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"failed","Mon Dec 02 00:51:20 GMT 2024","Mon Dec 02 00:51:22 GMT 2024","1690","tests","test_games","TestGamesAPI","","","Test search games with specific title","Verify retrieving games with the same title (case-insensitive)"
"failed","Mon Dec 02 00:51:27 GMT 2024","Mon Dec 02 00:51:27 GMT 2024","1","tests","test_users","TestUsersAPI","","","Test create user","Verify user creation and data validation"
"failed","Mon Dec 02 00:51:22 GMT 2024","Mon Dec 02 00:51:23 GMT 2024","719","tests","test_users","TestUsersAPI","","","Test get users list","Verify retrieving users list with different task IDs"
"broken","Mon Dec 02 00:51:25 GMT 2024","Mon Dec 02 00:51:26 GMT 2024","242","tests","test_users","TestUsersAPI","","","Test delete user","Verify deleting a single user by UUID"
"failed","Mon Dec 02 00:51:23 GMT 2024","Mon Dec 02 00:51:24 GMT 2024","325","tests","test_users","TestUsersAPI","","","Test get single user details","Verify retrieving details for a specific user"
"failed","Mon Dec 02 00:51:22 GMT 2024","Mon Dec 02 00:51:22 GMT 2024","395","tests","test_users","TestUsersAPI","","","Test get users list","Verify retrieving users list with different task IDs"
"broken","Mon Dec 02 00:51:25 GMT 2024","Mon Dec 02 00:51:25 GMT 2024","0","tests","test_users","TestUsersAPI","","","Test get single user details","Verify retrieving details for a specific user"
"broken","Mon Dec 02 00:51:28 GMT 2024","Mon Dec 02 00:51:28 GMT 2024","0","tests","test_users","TestUsersAPI","","","Test create user","Verify user creation and data validation"
"broken","Mon Dec 02 00:51:22 GMT 2024","Mon Dec 02 00:51:22 GMT 2024","251","tests","test_games","TestGamesAPI","","","Test getting a specific game by UUID","Verify retrieving game details by its UUID"
"broken","Mon Dec 02 00:51:26 GMT 2024","Mon Dec 02 00:51:26 GMT 2024","0","tests","test_users","TestUsersAPI","","","Test delete user","Verify deleting a single user by UUID"
