"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"broken","Mon Dec 02 05:00:33 GMT 2024","Mon Dec 02 05:00:33 GMT 2024","277","tests","test_games","TestGamesAPI","","","Test getting a specific game by UUID","Verify retrieving game details by its UUID"
"broken","Mon Dec 02 05:00:36 GMT 2024","Mon Dec 02 05:00:36 GMT 2024","0","tests","test_users","TestUsersAPI","","","Test get single user details","Verify retrieving details for a specific user"
"broken","Mon Dec 02 05:00:40 GMT 2024","Mon Dec 02 05:00:40 GMT 2024","0","tests","test_users","TestUsersAPI","","","Test create user","Verify user creation and data validation"
"failed","Mon Dec 02 05:00:39 GMT 2024","Mon Dec 02 05:00:39 GMT 2024","0","tests","test_users","TestUsersAPI","","","Test create user","Verify user creation and data validation"
"passed","Mon Dec 02 05:00:47 GMT 2024","Mon Dec 02 05:00:48 GMT 2024","1328","tests","test_wishlist","","","","Test adding a game to the wishlist","Verify adding a game to the user's wishlist"
"failed","Mon Dec 02 05:00:33 GMT 2024","Mon Dec 02 05:00:34 GMT 2024","484","tests","test_users","TestUsersAPI","","","Test get users list","Verify retrieving users list with different task IDs"
"failed","Mon Dec 02 05:00:35 GMT 2024","Mon Dec 02 05:00:36 GMT 2024","404","tests","test_users","TestUsersAPI","","","Test get single user details","Verify retrieving details for a specific user"
"broken","Mon Dec 02 05:00:45 GMT 2024","Mon Dec 02 05:00:46 GMT 2024","253","tests","test_wishlist","","","","Test adding a game to the wishlist","Verify adding a game to the user's wishlist"
"passed","Mon Dec 02 05:00:41 GMT 2024","Mon Dec 02 05:00:41 GMT 2024","403","tests","test_users","TestUsersAPI","","","Test update user","Verify updating an existing user by UUID"
"broken","Mon Dec 02 05:00:45 GMT 2024","Mon Dec 02 05:00:45 GMT 2024","0","tests","test_users","TestUsersAPI","","","Test update user","Verify updating an existing user by UUID"
"broken","Mon Dec 02 05:00:49 GMT 2024","Mon Dec 02 05:00:49 GMT 2024","0","tests","test_wishlist","","","","Test adding a game to the wishlist","Verify adding a game to the user's wishlist"
"passed","Mon Dec 02 05:00:43 GMT 2024","Mon Dec 02 05:00:44 GMT 2024","459","tests","test_users","TestUsersAPI","","","Test update user","Verify updating an existing user by UUID"
"broken","Mon Dec 02 05:00:44 GMT 2024","Mon Dec 02 05:00:44 GMT 2024","0","tests","test_users","TestUsersAPI","","","Test update user","Verify updating an existing user by UUID"
"broken","Mon Dec 02 05:00:37 GMT 2024","Mon Dec 02 05:00:38 GMT 2024","256","tests","test_users","TestUsersAPI","","","Test delete user","Verify deleting a single user by UUID"
"failed","Mon Dec 02 05:00:31 GMT 2024","Mon Dec 02 05:00:33 GMT 2024","2403","tests","test_games","TestGamesAPI","","","Test search games with specific title","Verify retrieving games with the same title (case-insensitive)"
"broken","Mon Dec 02 05:00:38 GMT 2024","Mon Dec 02 05:00:38 GMT 2024","0","tests","test_users","TestUsersAPI","","","Test delete user","Verify deleting a single user by UUID"
"broken","Mon Dec 02 05:00:49 GMT 2024","Mon Dec 02 05:00:49 GMT 2024","0","tests","test_wishlist","","","","Test adding a game to the wishlist","Verify adding a game to the user's wishlist"
"failed","Mon Dec 02 05:00:34 GMT 2024","Mon Dec 02 05:00:35 GMT 2024","911","tests","test_users","TestUsersAPI","","","Test get users list","Verify retrieving users list with different task IDs"
