"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"broken","Mon Dec 02 05:12:13 GMT 2024","Mon Dec 02 05:12:13 GMT 2024","0","tests","test_users","TestUsersAPI","","","Test update user","Verify updating an existing user by UUID"
"broken","Mon Dec 02 05:12:13 GMT 2024","Mon Dec 02 05:12:13 GMT 2024","0","tests","test_users","TestUsersAPI","","","Test update user","Verify updating an existing user by UUID"
"passed","Mon Dec 02 05:12:10 GMT 2024","Mon Dec 02 05:12:10 GMT 2024","348","tests","test_users","TestUsersAPI","","","Test update user","Verify updating an existing user by UUID"
"failed","Mon Dec 02 05:12:05 GMT 2024","Mon Dec 02 05:12:05 GMT 2024","284","tests","test_users","TestUsersAPI","","","Test get single user details","Verify retrieving details for a specific user"
"broken","Mon Dec 02 05:12:08 GMT 2024","Mon Dec 02 05:12:08 GMT 2024","0","tests","test_users","TestUsersAPI","","","Test delete user","Verify deleting a single user by UUID"
"failed","Mon Dec 02 05:12:03 GMT 2024","Mon Dec 02 05:12:04 GMT 2024","423","tests","test_users","TestUsersAPI","","","Test get users list","Verify retrieving users list with different task IDs"
"broken","Mon Dec 02 05:12:09 GMT 2024","Mon Dec 02 05:12:09 GMT 2024","0","tests","test_users","TestUsersAPI","","","Test create user","Verify user creation and data validation"
"failed","Mon Dec 02 05:12:01 GMT 2024","Mon Dec 02 05:12:03 GMT 2024","1884","tests","test_games","TestGamesAPI","","","Test search games with specific title","Verify retrieving games with the same title (case-insensitive)"
"broken","Mon Dec 02 05:12:18 GMT 2024","Mon Dec 02 05:12:18 GMT 2024","0","tests","test_wishlist","","","","Test adding a game to the wishlist","Verify adding a game to the user's wishlist"
"broken","Mon Dec 02 05:12:14 GMT 2024","Mon Dec 02 05:12:14 GMT 2024","212","tests","test_wishlist","","","","Test adding a game to the wishlist","Verify adding a game to the user's wishlist"
"broken","Mon Dec 02 05:12:06 GMT 2024","Mon Dec 02 05:12:06 GMT 2024","0","tests","test_users","TestUsersAPI","","","Test get single user details","Verify retrieving details for a specific user"
"broken","Mon Dec 02 05:12:17 GMT 2024","Mon Dec 02 05:12:17 GMT 2024","0","tests","test_wishlist","","","","Test adding a game to the wishlist","Verify adding a game to the user's wishlist"
"failed","Mon Dec 02 05:12:04 GMT 2024","Mon Dec 02 05:12:05 GMT 2024","774","tests","test_users","TestUsersAPI","","","Test get users list","Verify retrieving users list with different task IDs"
"passed","Mon Dec 02 05:12:15 GMT 2024","Mon Dec 02 05:12:17 GMT 2024","1237","tests","test_wishlist","","","","Test adding a game to the wishlist","Verify adding a game to the user's wishlist"
"failed","Mon Dec 02 05:12:09 GMT 2024","Mon Dec 02 05:12:09 GMT 2024","0","tests","test_users","TestUsersAPI","","","Test create user","Verify user creation and data validation"
"passed","Mon Dec 02 05:12:12 GMT 2024","Mon Dec 02 05:12:12 GMT 2024","450","tests","test_users","TestUsersAPI","","","Test update user","Verify updating an existing user by UUID"
"broken","Mon Dec 02 05:12:07 GMT 2024","Mon Dec 02 05:12:07 GMT 2024","198","tests","test_users","TestUsersAPI","","","Test delete user","Verify deleting a single user by UUID"
"broken","Mon Dec 02 05:12:03 GMT 2024","Mon Dec 02 05:12:03 GMT 2024","223","tests","test_games","TestGamesAPI","","","Test getting a specific game by UUID","Verify retrieving game details by its UUID"
